channel,campaign_name,package,month,Spend,Impressions,corrected_spend,corrected_impressions,method,ecpm
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Hermanos de Leche _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,29925.961150599163,1389710.0,38392.0,1389710.0,CPM,27.62590756344849
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Invertir Joven _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,37937.26254826255,1010360.0,30389.0,1010360.0,CPM,30.077398155113027
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Invertir Joven _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,38800.03314917127,1003258.0,30126.0,1003258.0,CPM,30.028168227913454
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Invertir Joven _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,38773.98369011213,1000981.0,30038.0,1000981.0,CPM,30.00856160106935
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Las Ma�aneras _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,37744.74251857803,1004979.0,30187.0,1004979.0,CPM,30.037443568472572
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Las Ma�aneras _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,37531.84798685292,1006085.0,30227.0,1006085.0,CPM,30.044181157655665
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Las Ma�aneras _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,37702.50701283199,1006702.0,30251.0,1006702.0,CPM,30.04960753033172
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Nayo Escobar _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,39279.266341340815,1047747.0,31790.0,1047747.0,CPM,30.34129422465538
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Nayo Escobar _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,39353.66926562841,1050533.0,31893.0,1050533.0,CPM,30.358874971086102
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Nayo Escobar _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,31424.49969713729,1075942.0,32218.0,1075942.0,CPM,29.943993263577404
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Tu Desarrollo Personal_CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,39788.07515159439,1061183.0,32294.0,1061183.0,CPM,30.43207439244692
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Tu Desarrollo Personal_CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,39457.601959227926,1051653.0,31938.0,1051653.0,CPM,30.369332850284263
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Tu Desarrollo Personal_CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,39397.60009452168,1050782.0,31904.0,1050782.0,CPM,30.3621493325923
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Banner_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-01,0.0,1016267.0,30000.0,1016267.0,PAV,29.519801390776244
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Banner_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-02,0.0,1076051.0,30000.0,1076051.0,PAV,27.87971945567636
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Banner_CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,1336977.0,30000.0,1336977.0,PAV,22.43868069532984
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Streaming _CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,45254.32237227234,3770778.0,63253.0,3770778.0,CPM,16.77452239299158
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Streaming _CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,40853.4111330781,3404618.0,58854.0,3404618.0,CPM,17.2865208372863
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Nueva+ Streaming _CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,19025.16368572687,1692455.0,37784.0,1692455.0,CPM,22.32496580411296
Digital Audio,,D_ATF_REX_067_NUEVA NETWORK_GARNT_BROD_ROS_NTL_2P_UF_Uforia Podcasting BMF Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,40444.63979756538,1155507.0,35443.0,1155507.0,CPM,30.673115783807454
